"","id","accession_number","artist","artistRole","artistId","title","dateText","medium","creditLine","year","acquisitionYear","dimensions","width","height","depth","units","inscription","thumbnailCopyright","thumbnailUrl","url"
"34480",59116,"D31896","Turner, Joseph Mallord William","artist",558,"Distant Buildings. ?Entrance from Mestre","1840","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1840",1856,"support: 173 x 123 mm","173","123",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D31/D31896_8.jpg","http://www.tate.org.uk/art/artworks/turner-distant-buildings-entrance-from-mestre-d31896"
"62285",21045,"T06868","Blamey, Norman","artist",764,"My Wife and Son","1959","Oil paint on board","Presented by Stephen Blamey, the artist's son 1994","1959",1994,"support: 1652 x 887 mm frame: 1824 x 1060 x 108 mm","1652","887",NA,"mm","","© Norman Blamey","http://www.tate.org.uk/art/images/work/T/T06/T06868_8.jpg","http://www.tate.org.uk/art/artworks/blamey-my-wife-and-son-t06868"
"48823",16056,"P06606","Wegner, Nicholas","artist",2127,"Love Making / Aerial City","1972","Lithograph on paper","Presented by Curwen Studio through the Institute of Contemporary Prints 1975","1972",1975,"image: 775 x 575 mm image: 775 x 575 mm","775","575",NA,"mm","","","","http://www.tate.org.uk/art/artworks/wegner-love-making-aerial-city-p06606"
"12965",37517,"D10139","Turner, Joseph Mallord William","artist",558,"[blank]","1814","","Accepted by the nation as part of the Turner Bequest 1856","1814",1856,"support: 119 x 82 mm","119","82",NA,"mm","","","","http://www.tate.org.uk/art/artworks/turner-blank-d10139"
"28899",53524,"D26187","Turner, Joseph Mallord William","artist",558,"Abbotsford from across the Tweed with Eildon Hill Beyond","1834","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1834",1856,"support: 111 x 181 mm","111","181",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D26/D26187_8.jpg","http://www.tate.org.uk/art/artworks/turner-abbotsford-from-across-the-tweed-with-eildon-hill-beyond-d26187"
"42384",15789,"N03685","Walker, Dame Ethel","artist",2115,"Miss Buchanan","c.1922","Oil paint on canvas","Purchased 1922","1922",1922,"support: 762 x 368 mm frame: 925 x 798 x 65 mm","762","368",NA,"mm","","© Tate","http://www.tate.org.uk/art/images/work/N/N03/N03685_8.jpg","http://www.tate.org.uk/art/artworks/walker-miss-buchanan-n03685"
"9343",33884,"D06493","Turner, Joseph Mallord William","artist",558,"A Dentist and his Wife and Son: Study for ‘The Unpaid Bill, or the Dentist Reproving his Son’s Prodigality’","c.1807–8","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1807",1856,"support: 115 x 190 mm","115","190",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D06/D06493_8.jpg","http://www.tate.org.uk/art/artworks/turner-a-dentist-and-his-wife-and-son-study-for-the-unpaid-bill-or-the-dentist-reproving-d06493"
"30548",55173,"D27854","Turner, Joseph Mallord William","artist",558,"Fire at the Grand Storehouse of the Tower of London","1841","Watercolour on paper","Accepted by the nation as part of the Turner Bequest 1856","1841",1856,"support: 235 x 325 mm","235","325",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D27/D27854_8.jpg","http://www.tate.org.uk/art/artworks/turner-fire-at-the-grand-storehouse-of-the-tower-of-london-d27854"
"36172",60814,"D33643","Turner, Joseph Mallord William","artist",558,"Lake, with Mountains","c.1841","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1841",1856,"support: 232 x 330 mm","232","330",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D33/D33643_8.jpg","http://www.tate.org.uk/art/artworks/turner-lake-with-mountains-d33643"
"26087",50699,"D23362","Turner, Joseph Mallord William","artist",558,"Granville from the North-East","1826","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1826",1856,"support: 133 x 91 mm","133","91",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D23/D23362_8.jpg","http://www.tate.org.uk/art/artworks/turner-granville-from-the-north-east-d23362"
"37012",61658,"D34490","Turner, Joseph Mallord William","artist",558,"Tell’s Chapel [Turner]","c.1830–41","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1830",1856,"support: 121 x 153 mm","121","153",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D34/D34490_8.jpg","http://www.tate.org.uk/art/artworks/turner-tells-chapel-turner-d34490"
"16154",40710,"D13342","Turner, Joseph Mallord William","artist",558,"Bass Rock from the South-West","1818","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1818",1856,"support: 99 x 159 mm","99","159",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D13/D13342_8.jpg","http://www.tate.org.uk/art/artworks/turner-bass-rock-from-the-south-west-d13342"
"7123",31654,"D04261","Turner, Joseph Mallord William","artist",558,"Blank","1802","","Accepted by the nation as part of the Turner Bequest 1856","1802",1856,"support: 112 x 187 mm","112","187",NA,"mm","","","","http://www.tate.org.uk/art/artworks/turner-blank-d04261"
"48986",1568,"P06769","Brook, Peter","artist",816,"DECEMBER Sheep Coming In","1976–7","Lithograph on paper","Presented by Curwen Studio 1978","1976",1978,"image: 511 x 711 mm","511","711",NA,"mm","","© The estate of Peter Brook","http://www.tate.org.uk/art/images/work/P/P06/P06769_8.jpg","http://www.tate.org.uk/art/artworks/brook-december-sheep-coming-in-p06769"
"24425",49037,"D21695","Turner, Joseph Mallord William","artist",558,"Views of Distant Alps","1828–9","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1828",1856,"support: 144 x 90 mm","144","90",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D21/D21695_8.jpg","http://www.tate.org.uk/art/artworks/turner-views-of-distant-alps-d21695"
"31453",56083,"D28766","Turner, Joseph Mallord William","artist",558,"Views of Aix-la-Chapelle","c.1834","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1834",1856,"support: 90 x 117 mm","90","117",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D28/D28766_8.jpg","http://www.tate.org.uk/art/artworks/turner-views-of-aix-la-chapelle-d28766"
"24366",48978,"D21636","Turner, Joseph Mallord William","artist",558,"Town, with Distant Mountains","1828","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1828",1856,"support: 148 x 104 mm","148","104",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D21/D21636_8.jpg","http://www.tate.org.uk/art/artworks/turner-town-with-distant-mountains-d21636"
"32006",56640,"D29372","Turner, Joseph Mallord William","artist",558,"A Tower above Villeneuve, Looking down the Val d’Aosta to the Château d’Argent and the Castle of St Pierre","1836","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1836",1856,"support: 104 x 148 mm","104","148",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D29/D29372_8.jpg","http://www.tate.org.uk/art/artworks/turner-a-tower-above-villeneuve-looking-down-the-val-daosta-to-the-chateau-dargent-and-the-d29372"
"48389",4631,"P06172","Frink, Dame Elisabeth","artist",1124,"Man and Horse II","1971","Lithograph on paper","Presented by Curwen Studio through the Institute of Contemporary Prints 1975","1971",1975,"image: 595 x 797 mm","595","797",NA,"mm","","© Frink Estate","http://www.tate.org.uk/art/images/work/P/P06/P06172_8.jpg","http://www.tate.org.uk/art/artworks/frink-man-and-horse-ii-p06172"
"38500",63154,"D36066","Turner, Joseph Mallord William","artist",558,"The Rigi from Küssnacht","c.1841–2","Graphite and watercolour on paper","Accepted by the nation as part of the Turner Bequest 1856","1841",1856,"support: 243 x 300 mm","243","300",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D36/D36066_8.jpg","http://www.tate.org.uk/art/artworks/turner-the-rigi-from-kussnacht-d36066"
"58166",3320,"T02725","Daniell, William","artist",138,"Hartland Pier, North Devon","date not known","Aquatint on paper","Presented by Tate Gallery Publications 1979","1814",1979,"image: 162 x 241 mm","162","241",NA,"mm","","","http://www.tate.org.uk/art/images/work/T/T02/T02725_8.jpg","http://www.tate.org.uk/art/artworks/daniell-hartland-pier-north-devon-t02725"
"1286",69419,"A01289","Jones, George","artist",300,"[title not known]","date not known","Ink on paper","Presented by the artist's widow 1888","",1888,"","","",NA,"","","","http://www.tate.org.uk/art/images/work/A/A01/A01289_8.jpg","http://www.tate.org.uk/art/artworks/jones-title-not-known-a01289"
"17869",42429,"D15073","Turner, Joseph Mallord William","artist",558,"Blank","1819","","Accepted by the nation as part of the Turner Bequest 1856","1819",1856,"support: 112 x 186 mm","112","186",NA,"mm","","","","http://www.tate.org.uk/art/artworks/turner-blank-d15073"
"43833",2089,"N05571","Cazin, Marie","artist",875,"Evening","?c.1884–8","Oil paint on canvas","Bequeathed by Mrs Mary James Mathews in memory of her husband Frank Claughton Mathews 1944","1884",1944,"support: 327 x 460 mm","327","460",NA,"mm","","","http://www.tate.org.uk/art/images/work/N/N05/N05571_8.jpg","http://www.tate.org.uk/art/artworks/cazin-evening-n05571"
"3463",27972,"D00557","Turner, Joseph Mallord William","artist",558,"Llandaff: The Ruined Gateway of the Castle","1795","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1795",1856,"support: 264 x 203 mm","264","203",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D00/D00557_8.jpg","http://www.tate.org.uk/art/artworks/turner-llandaff-the-ruined-gateway-of-the-castle-d00557"
"61562",19864,"T06136","Turner, Joseph Mallord William","after",558,"Ehrenbreitstein, engraved by J. Pye","published 1828","Engraving on paper","Transferred from the British Museum 1988","1828",1988,"","","",NA,"","","","http://www.tate.org.uk/art/images/work/T/T06/T06136_8.jpg","http://www.tate.org.uk/art/artworks/turner-ehrenbreitstein-engraved-by-j-pye-t06136"
"59064",9192,"T03628","Maitland, Paul","artist",1559,"Warehouse Across the River","c.1886","Oil paint on wood","Presented anonymously in memory of Sir Terence Rattigan 1983","1886",1983,"support: 108 x 152 mm","108","152",NA,"mm","","","http://www.tate.org.uk/art/images/work/T/T03/T03628_8.jpg","http://www.tate.org.uk/art/artworks/maitland-warehouse-across-the-river-t03628"
"8893",33432,"D06041","Turner, Joseph Mallord William","artist",558,"Cattle near a Bridge: ?Cassiobury Park in the Distance","c.1807","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1807",1856,"support: 92 x 163 mm","92","163",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D06/D06041_8.jpg","http://www.tate.org.uk/art/artworks/turner-cattle-near-a-bridge-cassiobury-park-in-the-distance-d06041"
"62623",21837,"T07209","Opie, Julian","artist",1721,"You see an office building. 3","1996","Painted fibreboard","Purchased 1996","1996",1996,"unconfirmed: 1845 x 1535 x 453 mm","1845","1535",453,"mm","","© Julian Opie","http://www.tate.org.uk/art/images/work/T/T07/T07209_8.jpg","http://www.tate.org.uk/art/artworks/opie-you-see-an-office-building-3-t07209"
"56520",5756,"T00942","Haile, Sam","artist",1238,"Surgical Ward","1939","Oil paint on canvas","Presented by Mrs Marriane Haile 1967","1939",1967,"support: 610 x 762 mm","610","762",NA,"mm","date inscribed","","","http://www.tate.org.uk/art/artworks/haile-surgical-ward-t00942"
"65893",24905,"T10527","British (?) School","artist",2638,"[title not known] Verso: Landscape Sketch","date not known","Graphite on paper. Verso: graphite on paper","Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996","",1997,"support: 76 x 83 mm","76","83",NA,"mm","","","http://www.tate.org.uk/art/images/work/T/T10/T10527_8.jpg","http://www.tate.org.uk/art/artworks/british-school-title-not-known-verso-landscape-sketch-t10527"
"57991",3145,"T02550","Daniell, William","artist",138,"The Clett-rock, Holborn-head","date not known","Copper plate","Presented by Tate Gallery Publications 1979","1814",1979,"object: 229 x 305 mm","229","305",NA,"mm","","","","http://www.tate.org.uk/art/artworks/daniell-the-clett-rock-holborn-head-t02550"
"4536",29061,"D01656","Turner, Joseph Mallord William","artist",558,"Study of Three Sailing Ships (?at Bristol)","1798","Graphite and watercolour on paper","Accepted by the nation as part of the Turner Bequest 1856","1798",1856,"support: 292 x 406 mm","292","406",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D01/D01656_8.jpg","http://www.tate.org.uk/art/artworks/turner-study-of-three-sailing-ships-at-bristol-d01656"
"45588",9844,"P02237","Moore, Henry, OM, CH","artist",1659,"Fat Lambs","1974","Intaglio print on paper","Presented by the artist 1975","1974",1975,"image: 191 x 254 mm","191","254",NA,"mm","date inscribed","© The Henry Moore Foundation; All rights reserved DACS 2014","http://www.tate.org.uk/art/images/work/P/P02/P02237_8.jpg","http://www.tate.org.uk/art/artworks/moore-fat-lambs-p02237"
"28457",53080,"D25743","Turner, Joseph Mallord William","artist",558,"Figure in Elizabethan Costume","1831","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1831",1856,"support: 96 x 59 mm","96","59",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D25/D25743_8.jpg","http://www.tate.org.uk/art/artworks/turner-figure-in-elizabethan-costume-d25743"
"7905",32443,"D05051","Turner, Joseph Mallord William","artist",558,"A Large Ship Lying on her Side, with a Sailing Boat, for the ‘Shipwreck’","c.1799–1805","Chalk on paper","Accepted by the nation as part of the Turner Bequest 1856","1799",1856,"support: 433 x 272 mm","433","272",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D05/D05051_8.jpg","http://www.tate.org.uk/art/artworks/turner-a-large-ship-lying-on-her-side-with-a-sailing-boat-for-the-shipwreck-d05051"
"42362",1414,"N03656","Brabazon, Hercules Brabazon","artist",50,"Sunset (after Turner)","date not known","Gouache on paper","Presented by a friend in memory of the Hon. Mr Justice Peterson 1922","",1922,"support: 121 x 175 mm","121","175",NA,"mm","","","http://www.tate.org.uk/art/images/work/N/N03/N03656_8.jpg","http://www.tate.org.uk/art/artworks/brabazon-sunset-after-turner-n03656"
"24013",48625,"D21282","Turner, Joseph Mallord William","artist",558,"Mountains","1828","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1828",1856,"support: 159 x 98 mm","159","98",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D21/D21282_8.jpg","http://www.tate.org.uk/art/artworks/turner-mountains-d21282"
"6981",31512,"D04117","Turner, Joseph Mallord William","artist",558,"A Castle on a Hill (?Bamburgh): Sunset","c.1799–1802","Ink and graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1799",1856,"support: 215 x 138 mm","215","138",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D04/D04117_8.jpg","http://www.tate.org.uk/art/artworks/turner-a-castle-on-a-hill-bamburgh-sunset-d04117"
"57668",10702,"T02225","Nicholson, Ben, OM","artist",1702,"July 27-53 (ivory)","1953","Oil paint and graphite on canvas","Bequeathed by Miss E.M. Hodgkins 1977","1953",1977,"support: 610 x 457 mm frame: 655 x 503 x 66 mm","610","457",NA,"mm","date inscribed","© Angela Verren Taunt 2014. All rights reserved, DACS","http://www.tate.org.uk/art/images/work/T/T02/T02225_8.jpg","http://www.tate.org.uk/art/artworks/nicholson-july-27-53-ivory-t02225"
"7609",32147,"D04754","Turner, Joseph Mallord William","artist",558,"Town and Castle on a Hillside","1802","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1802",1856,"support: 154 x 240 mm","154","240",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D04/D04754_8.jpg","http://www.tate.org.uk/art/artworks/turner-town-and-castle-on-a-hillside-d04754"
"4318",28839,"D01433","Turner, Joseph Mallord William","artist",558,"[blank]","1798","","Accepted by the nation as part of the Turner Bequest 1856","1798",1856,"support: 266 x 171 mm","266","171",NA,"mm","","","","http://www.tate.org.uk/art/artworks/turner-blank-d01433"
"14630",39183,"D11809","Turner, Joseph Mallord William","artist",558,"Blank","c.1816–18","","Accepted by the nation as part of the Turner Bequest 1856","1816",1856,"support: 149 x 93 mm","149","93",NA,"mm","","","","http://www.tate.org.uk/art/artworks/turner-blank-d11809"
"15914",40470,"D13102","Turner, Joseph Mallord William","artist",558,"Vessels at the Mouth of a River","1817","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1817",1856,"support: 156 x 93 mm","156","93",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D13/D13102_8.jpg","http://www.tate.org.uk/art/artworks/turner-vessels-at-the-mouth-of-a-river-d13102"
"51599",80518,"P12257","Smith, Richard","artist",1959,"Double Meadow","1982","Aquatint, etching and lithograph on paper","Presented by Tyler Graphics Ltd in honour of Pat Gilmour, Tate Print Department 1974-7, 2004","1982",2004,"image: 763 x 578 mm","763","578",NA,"mm","","","","http://www.tate.org.uk/art/artworks/smith-double-meadow-p12257"
"51595",80514,"P12253","Smith, Richard","artist",1959,"Pix","1982","Aquatint, lithograph and drypoint on paper","Presented by Tyler Graphics Ltd in honour of Pat Gilmour, Tate Print Department 1974-7, 2004","1982",2004,"image: 480 x 390 mm","480","390",NA,"mm","","","","http://www.tate.org.uk/art/artworks/smith-pix-p12253"
"1447",69580,"A01450","Jones, George","artist",300,"[title not known]","date not known","Ink on paper","Presented by the artist's widow 1888","",1888,"","","",NA,"","","","http://www.tate.org.uk/art/images/work/A/A01/A01450_8.jpg","http://www.tate.org.uk/art/artworks/jones-title-not-known-a01450"
"64303",22847,"T08937","Farington, Joseph","artist",176,"Scene in a Wood, with Figures","date not known","Ink on paper","Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996","",1997,"support: 141 x 185 mm","141","185",NA,"mm","","","http://www.tate.org.uk/art/images/work/T/T08/T08937_8.jpg","http://www.tate.org.uk/art/artworks/farington-scene-in-a-wood-with-figures-t08937"
"25995",50607,"D23270","Turner, Joseph Mallord William","artist",558,"Interior of the Church of St-Julien, Tours: The Chancel, with a Diligence","1826","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1826",1856,"support: 153 x 103 mm","153","103",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D23/D23270_8.jpg","http://www.tate.org.uk/art/artworks/turner-interior-of-the-church-of-st-julien-tours-the-chancel-with-a-diligence-d23270"
"23068",47676,"D20324","Turner, Joseph Mallord William","artist",558,"Shipping on River","c.1826","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1826",1856,"support: 149 x 197 mm","149","197",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D20/D20324_8.jpg","http://www.tate.org.uk/art/artworks/turner-shipping-on-river-d20324"
"49515",11700,"P07482","Phillips, Esq Tom","artist",1764,"Canto VII: [no title]","1981","Screenprint on paper","Purchased 1981","1981",1981,"image: 330 x 203 mm","330","203",NA,"mm","","© Tom Phillips","http://www.tate.org.uk/art/images/work/P/P07/P07482_8.jpg","http://www.tate.org.uk/art/artworks/phillips-canto-vii-no-title-p07482"
"25944",50556,"D23219","Turner, Joseph Mallord William","artist",558,"Angers: From the Tour de Guillou and the Basse Chaine, Looking Across to the Château on the Left Bank","1826","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1826",1856,"support: 170 x 110 mm","170","110",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D23/D23219_8.jpg","http://www.tate.org.uk/art/artworks/turner-angers-from-the-tour-de-guillou-and-the-basse-chaine-looking-across-to-the-chateau-d23219"
"14096",38649,"D11274","Turner, Joseph Mallord William","artist",558,"Mill and Falls at West Burton","1816","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1816",1856,"support: 154 x 96 mm","154","96",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D11/D11274_8.jpg","http://www.tate.org.uk/art/artworks/turner-mill-and-falls-at-west-burton-d11274"
"55118",105265,"P79795","Hamilton, Richard","artist",1244,"I’m dreaming of a white Christmas","1967","Screenprint on paper","Presented by Tate Members 2010","1967",2010,"frame: 890 x 1142 mm","890","1142",NA,"mm","","© The estate of Richard Hamilton","http://www.tate.org.uk/art/images/work/P/P79/P79795_8.jpg","http://www.tate.org.uk/art/artworks/hamilton-im-dreaming-of-a-white-christmas-p79795"
"50356",67798,"P09103","Kokoschka, Oskar","artist",1430,"[no title]","1954","Pastel on paper","Presented by Mrs Olda Kokoschka, the artist's widow 1984","1954",1984,"unconfirmed: 253 x 368 mm","253","368",NA,"mm","","© The estate of Oscar Kokoschka","http://www.tate.org.uk/art/images/work/P/P09/P09103_8.jpg","http://www.tate.org.uk/art/artworks/kokoschka-no-title-p09103"
"66363",25083,"T10997","Kaisermann, Franz","artist",2621,"Genzano","date not known","Graphite and watercolour on paper","Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996","",1997,"support: 372 x 530 mm","372","530",NA,"mm","","","http://www.tate.org.uk/art/images/work/T/T10/T10997_8.jpg","http://www.tate.org.uk/art/artworks/kaisermann-genzano-t10997"
"13006",37558,"D10180","Turner, Joseph Mallord William","artist",558,"In Portsmouth Harbour","1814","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1814",1856,"support: 119 x 82 mm","119","82",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D10/D10180_8.jpg","http://www.tate.org.uk/art/artworks/turner-in-portsmouth-harbour-d10180"
"32768",57403,"D30143","Turner, Joseph Mallord William","artist",558,"Salzburg: The Fortress from the East, with the Untersberg","1833","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1833",1856,"support: 159 x 99 mm","159","99",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D30/D30143_8.jpg","http://www.tate.org.uk/art/artworks/turner-salzburg-the-fortress-from-the-east-with-the-untersberg-d30143"
"67380",70921,"T12033","Reynolds, Sir Joshua","artist",444,"Colonel Acland and Lord Sydney: The Archers","1769","Oil paint on canvas","Purchased (Building the Tate Collection fund) with assistance from the National Heritage Memorial Fund, Tate Members, the Art Fund (with a contribution from the Wolfson Foundation) and other donors 2005","1769",2005,"unconfirmed: 2360 x 1800 mm","2360","1800",NA,"mm","","","http://www.tate.org.uk/art/images/work/T/T12/T12033_8.jpg","http://www.tate.org.uk/art/artworks/reynolds-colonel-acland-and-lord-sydney-the-archers-t12033"
"20324",44890,"D17534","Turner, Joseph Mallord William","artist",558,"Blank","1822","","Accepted by the nation as part of the Turner Bequest 1856","1822",1856,"support: 116 x 187 mm","116","187",NA,"mm","","","","http://www.tate.org.uk/art/artworks/turner-blank-d17534"
"30689",55315,"D27996","Turner, Joseph Mallord William","artist",558,"On Coast","c.1834","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1834",1856,"support: 90 x 116 mm","90","116",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D27/D27996_8.jpg","http://www.tate.org.uk/art/artworks/turner-on-coast-d27996"
"65527",24677,"T10161","Chatelain, Jean Baptiste Claude","artist",2222,"Landscape","date not known","Graphite on paper","Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996","",1997,"support: 102 x 148 mm","102","148",NA,"mm","","","http://www.tate.org.uk/art/images/work/T/T10/T10161_8.jpg","http://www.tate.org.uk/art/artworks/chatelain-landscape-t10161"
"58939",8906,"T03502","Lipchitz, Jacques","artist",1518,"First Study for Pastoral","1934","Terracotta on plaster base","Presented by the Lipchitz Foundation 1982","1934",1982,"object: 120 x 127 x 82 mm","120","127",82,"mm","","© The estate of Jacques Lipchitz, courtesy, Marlborough Gallery, New York","http://www.tate.org.uk/art/images/work/T/T03/T03502_8.jpg","http://www.tate.org.uk/art/artworks/lipchitz-first-study-for-pastoral-t03502"
"15904",40460,"D13092","Turner, Joseph Mallord William","artist",558,"The Herring Tower, Amsterdam","1817","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1817",1856,"support: 156 x 93 mm","156","93",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D13/D13092_8.jpg","http://www.tate.org.uk/art/artworks/turner-the-herring-tower-amsterdam-d13092"
"9184",33724,"D06333","Turner, Joseph Mallord William","artist",558,"?Windsor Castle","1805","","Accepted by the nation as part of the Turner Bequest 1856","1805",1856,"support: 182 x 117 mm","182","117",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D06/D06333_8.jpg","http://www.tate.org.uk/art/artworks/turner-windsor-castle-d06333"
"26611",51223,"D23886","Turner, Joseph Mallord William","artist",558,"Views on River","1832","Graphite and pen and ink on paper","Accepted by the nation as part of the Turner Bequest 1856","1832",1856,"support: 174 x 117 mm","174","117",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D23/D23886_8.jpg","http://www.tate.org.uk/art/artworks/turner-views-on-river-d23886"
"28016",52634,"D25297","Turner, Joseph Mallord William","artist",558,"?Laugharne Castle","c.1831","Watercolour on paper","Accepted by the nation as part of the Turner Bequest 1856","1831",1856,"support: 307 x 489 mm","307","489",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D25/D25297_8.jpg","http://www.tate.org.uk/art/artworks/turner-laugharne-castle-d25297"
"2883",97283,"AR01145","Mapplethorpe, Robert","artist",11413,"Orchid","1988","Photograph, gelatin silver print on paper","ARTIST ROOMS Tate and National Galleries of Scotland. Presented by the Robert Mapplethorpe Foundation 2010","1988",2011,"unconfirmed: 610 x 508 mm","610","508",NA,"mm","","","","http://www.tate.org.uk/art/artworks/mapplethorpe-orchid-ar01145"
"23339",47949,"D20598","Turner, Joseph Mallord William","artist",558,"Windsor Castle, from the River","c.1827","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1827",1856,"support: 112 x 192 mm","112","192",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D20/D20598_8.jpg","http://www.tate.org.uk/art/artworks/turner-windsor-castle-from-the-river-d20598"
"16831",41387,"D14024","Turner, Joseph Mallord William","artist",558,"Two Views of Tournus from the River Saône","1819","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1819",1856,"support: 114 x 185 mm","114","185",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D14/D14024_8.jpg","http://www.tate.org.uk/art/artworks/turner-two-views-of-tournus-from-the-river-saone-d14024"
"788",16583,"A00791","Linnell, John","artist",351,"[title not known]","published 1843","Wood engraving on paper","Presented by Herbert Linnell 1924","1843",1924,"","","",NA,"","","","http://www.tate.org.uk/art/images/work/A/A00/A00791_8.jpg","http://www.tate.org.uk/art/artworks/linnell-title-not-known-a00791"
"34238",58874,"D31650","Turner, Joseph Mallord William","artist",558,"Valley, with Mountains","1833","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1833",1856,"support: 203 x 109 mm","203","109",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D31/D31650_8.jpg","http://www.tate.org.uk/art/artworks/turner-valley-with-mountains-d31650"
"38537",63191,"D36103","Turner, Joseph Mallord William","artist",558,"River Scene, with Steep Banks","after c.1830","Gouache and watercolour on paper","Accepted by the nation as part of the Turner Bequest 1856","1830",1856,"support: 187 x 232 mm","187","232",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D36/D36103_8.jpg","http://www.tate.org.uk/art/artworks/turner-river-scene-with-steep-banks-d36103"
"50732",18923,"P11262","Trevelyan, Julian","artist",2065,"[no title]","after 1945","Intaglio print on paper","Presented by Mrs Mary Trevelyan, the artist's widow 1989","1946",1989,"image: 266 x 266 mm","266","266",NA,"mm","","© The estate of Julian Trevelyan","http://www.tate.org.uk/art/images/work/P/P11/P11262_8.jpg","http://www.tate.org.uk/art/artworks/trevelyan-no-title-p11262"
"1305",69438,"A01308","Jones, George","artist",300,"[title not known]","date not known","Ink and graphite on paper","Presented by the artist's widow 1888","",1888,"","","",NA,"","","","http://www.tate.org.uk/art/images/work/A/A01/A01308_8.jpg","http://www.tate.org.uk/art/artworks/jones-title-not-known-a01308"
"25108",49720,"D22382","Turner, Joseph Mallord William","artist",558,"Tamworth from Hopwas","1830","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1830",1856,"support: 78 x 110 mm","78","110",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D22/D22382_8.jpg","http://www.tate.org.uk/art/artworks/turner-tamworth-from-hopwas-d22382"
